timestamp,cpu_percent,memory_percent,memory_mb,active_workers,queued_tasks
2025-12-11T16:55:58.338758,25.9,68.2,5325.87109375,0,0
2025-12-11T16:55:59.340384,26.2,68.2,5324.1953125,0,0
2025-12-11T16:56:00.341943,25.4,68.2,5325.1796875,0,0
2025-12-11T16:56:01.343475,26.6,68.2,5327.53515625,0,0
2025-12-11T16:56:02.345132,26.1,68.2,5329.7734375,0,0
2025-12-11T16:56:03.346705,26.9,68.2,5329.71875,0,0
2025-12-11T16:56:04.348142,26.0,68.2,5329.96484375,0,0
2025-12-11T16:56:05.349843,26.2,68.3,5330.88671875,0,0
2025-12-11T16:56:06.351386,26.0,68.3,5331.82421875,0,0
2025-12-11T16:56:07.353098,25.9,68.2,5330.11328125,0,0
2025-12-11T16:56:08.354670,24.3,68.3,5334.1953125,0,0
2025-12-11T16:56:09.356395,26.5,68.4,5344.8359375,0,0
2025-12-11T16:56:10.358086,25.9,68.4,5345.7734375,0,0
2025-12-11T16:57:39.639754,0.0,60.3,4711.61328125,1,0
2025-12-11T16:57:40.642068,21.4,64.7,5051.02734375,1,9
2025-12-11T16:57:41.645329,19.3,67.6,5283.515625,1,9
2025-12-11T16:57:42.649246,27.0,69.5,5429.79296875,1,9
2025-12-11T16:57:43.654013,26.7,69.6,5437.421875,1,9
2025-12-11T16:57:44.657929,27.4,69.7,5446.64453125,1,9
2025-12-11T16:57:45.660894,26.3,69.8,5449.4609375,1,9
2025-12-11T16:57:46.663500,26.2,69.8,5452.66796875,1,9
2025-12-11T16:57:47.666420,26.3,69.9,5457.64453125,1,9
2025-12-11T16:57:48.671271,26.8,69.9,5461.08984375,1,9
2025-12-11T16:57:49.674951,26.7,70.0,5465.3984375,1,9
2025-12-11T16:57:50.678771,27.1,70.0,5467.125,1,9
2025-12-11T16:57:51.681878,27.2,70.0,5467.1328125,1,9
2025-12-11T16:57:52.686177,26.9,70.1,5472.5390625,1,9
2025-12-11T16:57:53.689495,26.4,70.1,5472.22265625,1,9
